accx,accy,accz,gryx,gryy,gryz,number,activity
0.17000088,0.09857719,0.41613707,-0.79632884,0.33540803,0.12760691,8.0,1
0.1550384,-0.04608716,0.48597568,-0.38915804,0.13500108,0.12616602,8.0,1
0.095196515,-0.09621718,0.44429398,0.1348771,-0.08299259,0.20444009,8.0,1
0.105586626,-0.13224435,0.37596232,0.7730418,-0.3824434,0.1883486,8.0,1
0.07474248,-0.06264475,0.34032422,1.4862332,-0.5949719,-0.071901985,8.0,1
0.063838854,0.06512266,0.4072042,1.7968904,-0.68673456,0.015418253,8.0,1
0.18735379,0.18629661,0.5635225,2.0997307,-0.20984142,0.086105436,8.0,1
0.23492908,0.378902,0.6204527,2.0773258,-0.30213508,0.080159836,8.0,1
0.2145501,0.56303865,0.60532033,2.4258597,-0.7393134,-0.08421531,8.0,1
0.34648475,0.82287514,0.513981,2.2145052,-1.3411108,-0.18041326,8.0,1
0.487424,0.9663121,0.59463584,2.6524951,-0.5789591,-0.28140283,8.0,1
0.5384731,1.1076347,0.5559629,2.6621904,-0.08841169,0.104245454,8.0,1
0.614362,1.1870694,0.648755,1.9104229,-1.1957544,0.14839232,8.0,1
0.56698877,1.2724228,0.7391851,1.4344774,-0.8160432,-0.09152038,8.0,1
0.4839993,1.1617243,0.7505039,1.0620865,-0.19296007,-0.21322213,8.0,1
0.43810096,1.0687823,0.6572778,0.32344386,0.15140274,-0.031636875,8.0,1
0.5048877,0.9526698,0.62152076,-0.20421855,0.23144186,0.072193004,8.0,1
0.4817505,0.92391145,0.46114412,-0.3024746,-0.06766129,-0.058978368,8.0,1
0.40083653,0.92677814,0.20718773,-0.25496498,0.05656607,0.04016933,8.0,1
0.48174095,0.96071786,0.38024127,-0.7344914,-0.2320069,0.13153015,8.0,1
0.4490722,1.0068548,0.5999464,-1.6254755,0.034184244,0.059534434,8.0,1
0.4251217,1.0829303,0.8124091,-2.0037503,0.433304,0.038389683,8.0,1
0.51277024,1.2016425,0.6606101,-2.260788,0.5796181,0.055523064,8.0,1
0.5522653,1.2564429,0.67098606,-2.3118408,1.0425236,0.09671108,8.0,1
0.56710434,1.234114,0.6966572,-3.185449,0.39509276,0.31141084,8.0,1
0.5397909,1.2179469,0.7585274,-3.0783494,0.1331065,0.20208614,8.0,1
0.3932333,1.1038078,0.51407933,-2.6749346,0.3531423,0.065356985,8.0,1
